fid,ID,indNomencl,metodoProd,mi,nome,orgaoEdito,tipoCarta,anoRestitu,anoReambul,anoVoo,areaFolha,latLimNort,latLimSul,longLimLes,longLimOes,recursoOff,recursoOnL,uf,declinacao,datumHoriz,datumVerti,meridianoC,sistemaPro,anoEdicao,numEdicao,anoImpress,numImpress,geoPdf,pdf,metadadoIm,PRIMARYIND
273,247,SE-22-V-A-V,Restituição fotogramétrica,"2288",ARAGUAINHA,IBGE,Topográfica,"1977","1977","1966","2949.995","-16.500","-17.000","-53.000000","-53.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,GO_MT,Em 1978 12° 45' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1978","1","1978","1",Nã,Sim,Sim,273
274,248,SE-22-V-A-VI,Restituição fotogramétrica,"2289",PONTE BRANCA,IBGE,Topográfica,"1976","1973","1965","2949.995","-16.500","-17.000","-52.500000","-53.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,GO_MT,Em 1976 12° 52' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1976","1","1976","1",Nã,Sim,Sim,274
275,249,SE-22-V-B-IV,Restituição fotogramétrica,"2290",RIBEIRÃO PARAÍSO,IBGE,Topográfica,"1976","1973","1965","2949.995","-16.500","-17.000","-52.000000","-52.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,GO,Em 1976 13° 14' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1976","1","1976","1",Nã,Sim,Sim,275
276,250,SE-22-V-B-V,Restituição fotogramétrica,"2291",CAIAPÔNIA,IBGE,Topográfica,"1977","1972","1965","2949.995","-16.500","-17.000","-51.500000","-52.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,GO,Em 1975 13° 26' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1975","1","1975","1",Nã,Sim,Sim,276
277,251,SE-22-V-B-VI,Restituição fotogramétrica,"2292",AMORINÓPOLIS,IBGE,Topográfica,"1975","1972","1966","2949.995","-16.500","-17.000","-51.000000","-51.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,GO,Em 1976 13° 59' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1976","1","1976","1",Nã,Sim,Sim,277
278,252,SE-22-X-A-IV,Restituição fotogramétrica,"2293",IVOLÂNDIA,IBGE,Topográfica,"1971","1971","1965","2949.995","-16.500","-17.000","-50.500000","-51.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,GO,Em 1974 14° 04' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1974","1","1974","1",Nã,Sim,Sim,278
279,253,SE-22-X-A-V,Restituição fotogramétrica,"2294",SÃO LUÍS DE MONTES BELOS,IBGE,Topográfica,"1971","1971","1965","2949.995","-16.500","-17.000","-50.000000","-50.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,GO,Em 1974 14° 29' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1974","1","1974","1",Nã,Nã,Sim,279
280,254,SE-24-V-A-V,Restituição fotogramétrica,"2312",JOAÍMA,IBGE,Topográfica,"1984","1983","1976","2949.995","-16.500","-17.000","-41.000000","-41.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm,MG,Em 1984 -21° 05' (Cresce -6' ao ano),SAD69,Imbituba-SC,"-39",UTM,"1984","1","1984","1",Nã,Sim,Sim,280
281,255,SE-22-V-C-I,Restituição fotogramétrica,"2327",RIO ITIQUIRA,IBGE,Topográfica,"1976","1976","1966","2942.327","-17.000","-17.500","-53.500000","-54","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,MS_MT,Em 1977 12° 07' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1977","1","1977","1",Nã,Sim,Sim,281
282,256,SE-22-V-C-II,Restituição fotogramétrica,"2328",ALTO ARAGUAIA,IBGE,Topográfica,"1976","1975","1965","2942.327","-17.000","-17.500","-53.000000","-53.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,GO_MT,Em 1983 -13° 25' (Cresce -9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1983","2","1983","1",Nã,Sim,Sim,282
283,257,SE-22-V-C-III,Restituição fotogramétrica,"2329",PORTELÂNDIA,IBGE,Topográfica,"1976","1976","1965","2942.327","-17.000","-17.500","-52.500000","-53.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,GO,Em 1976 -12° 45' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1976","1","1976","1",Nã,Sim,Sim,283
284,258,SE-22-V-D-I,Restituição fotogramétrica,"2330",RIBEIRÃO INVERNADINHA,IBGE,Topográfica,"1973","1973","1966","2942.327","-17.000","-17.500","-52.000000","-52.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,GO,Em 1976 13° 07' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1976","1","1976","1",Nã,Nã,Sim,284
285,259,SE-22-V-D-II,Restituição fotogramétrica,"2331",SERRA DO CAIAPÓ,IBGE,Topográfica,"1973","1973","1965","2942.327","-17.000","-17.500","-51.500000","-52.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,GO,Em 1976 13° 29' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1976","1","1976","1",Nã,Nã,Sim,285
286,260,SE-22-V-D-III,Restituição fotogramétrica,"2332",MONTIVIDIU,IBGE,Topográfica,"1972","1972","1966","2942.327","-17.000","-17.500","-51.000000","-51.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,GO,Em 1976 13° 52' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1976","1","1976","1",Nã,Sim,Sim,286
287,261,SE-22-X-C-I,Restituição fotogramétrica,"2333",RIBEIRÃO PINDAÍBA,IBGE,Topográfica,"1971","1971","1966","2942.327","-17.000","-17.500","-50.500000","-51.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,GO,Em 1974 13° 56' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1974","1","1974","1",Nã,Sim,Sim,287
288,262,SE-22-X-C-II,Restituição fotogramétrica,"2334",JANDAIA,IBGE,Topográfica,"1971","1971","1966","2942.327","-17.000","-17.500","-50.000000","-50.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,GO,Em 1974 14° 22' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1974","1","1974","1",Nã,Sim,Sim,288
289,263,SE-22-X-C-III,Restituição fotogramétrica,"2335",EDÉIA,IBGE,Topográfica,"1970","1970","1964","2942.327","-17.000","-17.500","-49.500000","-50.000000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,GO,Em 1974 14° 45' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1974","1","1974","1",Nã,Sim,Sim,289
290,264,SE-22-X-D-I,Restituição fotogramétrica,"2336",PIRACANJUBA,IBGE,Topográfica,"1970","1970","1964","2942.327","-17.000","-17.500","-49.000000","-49.500000","Folha impressa; CD-ROM",http://www.ibge.gov.br/home/geociencias/download/arquivos/index1_tif.shtm e http://www.ibge.gov.br/home/geociencias/download/arquivos/index1.shtm,GO,Em 1974 15° 07' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1974","1","1974","1",Nã,Sim,Sim,290
291,265,SB-22-X-B-I,Restituição fotogramétrica,"0730",JACUNDÁ,DSG,Topográfica,"1982","1981","1980","3069.044",,,,,,,PA,"Em 1980 16° 58' (Cresce 7,9' ao ano)",SAD69,Imbituba-SC,"-51",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,291
292,266,SB-22-X-B-II,Restituição fotogramétrica,"0731",RIO PITINGA,DSG,Topográfica,"1982","1981","1980","3069.044",,,,,,,PA,"Em 1980 17° 12' (Cresce 7,8' ao ano)",SAD69,Imbituba-SC,"-51",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,292
293,267,SB-22-X-B-III,Restituição fotogramétrica,"0732",SANTA LÚCIA,DSG,Topográfica,"1983","1982","1982","3069.044",,,,,,,PA,"Em 1980 17° 26' (Cresce 7,6' ao ano)",SAD69,Imbituba-SC,"-51",UTM,"1984","1","1984","1",Nã,Nã,Não se aplic,293
294,268,SB-23-V-A-I,Restituição fotogramétrica,"0733",FELINTO MULLER,DSG,Topográfica,"1984","1983","1982","3069.044",,,,,,,PA_MA,"Em 1980 17° 40' (Cresce 7,4' ao ano)",SAD69,Imbituba-SC,"-45",UTM,"1984","1","1984","1",Nã,Nã,Não se aplic,294
295,269,SB-23-V-A-II,Restituição fotogramétrica,"0734",GUARAMANDI,DSG,Topográfica,"1984","1983","1982","3069.044",,,,,,,PA_MA,"Em 1980 17° 53' (Cresce 7,2' ao ano)",SAD69,Imbituba-SC,"-45",UTM,"1984","1","1984","1",Nã,Nã,Não se aplic,295
296,270,SB-23-V-A-III,Restituição fotogramétrica,"0735",BOM JESUS DA SELVA,DSG,Topográfica,"1985","1984","1983","3069.044",,,,,,,MA,"Em 1984 18° 35' (Cresce 6,9' ao ano)",SAD69,Imbituba-SC,"-45",UTM,"1985","1","1985","1",Nã,Nã,Não se aplic,296
297,271,SB-23-X-A-II,Restituição fotogramétrica,"0740",COROATÁ,DSG,Topográfica,"1979","1978","1976","3069.044",,,,,,,MA,"Em 1978 19° 01' (Cresce 4,4' ao ano)",SAD69,Imbituba-SC,"-45",UTM,"1980","1","1980","1",Nã,Nã,Não se aplic,297
298,272,SB-23-X-A-III,Restituição fotogramétrica,"0741",CODÓ,DSG,Topográfica,"1979","1978","1976","3069.044",,,,,,,MA,"Em 1978 19° 13' (Cresce 4,2' ao ano)",SAD69,Imbituba-SC,"-45",UTM,"1980","1","1980","1",Nã,Nã,Não se aplic,298
299,273,SB-23-X-B-I,Restituição fotogramétrica,"0742",COELHO NETO,DSG,Topográfica,"1976","1976","1975","3069.044",,,,,,,MA,Em 1975 19° 23' (Cresce 6' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1978","1","1985","1",Nã,Nã,Não se aplic,299
300,274,SB-23-X-B-II,Restituição fotogramétrica,"0743",MIGUEL ALVES,DSG,Topográfica,"1977","1976","1974","3069.044",,,,,,,PI_MA,Em 1975 19° 34' (Cresce 6' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1978","1","1978","1",Nã,Nã,Não se aplic,300
301,275,SB-23-X-B-III,Compilação,"0744",BARRAS,DSG,Topográfica,Não se aplica,"1976","1974","3069.044",,,,,,,PI,"Em 1975 19° 45' (Cresce 5,3' ao ano)",Córrego Alegre,Imbituba-SC,"-45",UTM,"1978","1","1978","1",Nã,Nã,Não se aplic,301
302,276,SB-24-V-A-I,Restituição fotogramétrica,"0745",PIRIPIRI,DSG,Topográfica,"1977","1976","1974","3069.044",,,,,,,PI,"Em 1975 19° 55' (Cresce 5,2' ao ano)",Córrego Alegre,Imbituba-SC,"-39",UTM,"1978","1","1984","2",Nã,Nã,Não se aplic,302
303,277,SB-24-V-A-II,Restituição fotogramétrica,"0746",PEDRO II,DSG,Topográfica,"1977","1977",1974 e 1975,"3069.044",,,,,,,PI_CE,Em 1975 20° 06' (Cresce 5' ao ano),Córrego Alegre,Imbituba-SC,"-39",UTM,"1979","1","1979","1",Nã,Nã,Não se aplic,303
304,278,SB-24-V-A-III,Restituição fotogramétrica,"0747",IPU,DSG,Topográfica,"1972",1970 e 1971,1968 e 1969,"3069.044",,,,,,,CE,"Em 1969 20° 24' (Cresce 5,8' ao ano)",Córrego Alegre,Imbituba-SC,"-39",UTM,"1979","1","1979","2",Nã,Nã,Não se aplic,304
305,279,SB-24-V-B-I,Restituição fotogramétrica,"0748",SANTA QUITÉRIA,DSG,Topográfica,"1972",1970 e 1971,"1969","3069.044",,,,,,,CE,Em 1969 20° 33' (Cresce 6' ao ano),Córrego Alegre,Imbituba-SC,"-39",UTM,"1972","1","1984","1",Nã,Nã,Não se aplic,305
306,280,SB-24-V-B-II,Restituição fotogramétrica,"0749",TAPERUABA,DSG,Topográfica,"1974","1974","1971","3069.044",,,,,,,CE,"Em 1969 20° 41' (Cresce 5,4' ao ano)",Córrego Alegre,Imbituba-SC,"-39",UTM,"1974","1","1982","2",Nã,Nã,Não se aplic,306
307,281,SB-24-V-B-III,Restituição fotogramétrica,"0750",CANINDÉ,DSG,Topográfica,"1974","1974","1971","3069.044",,,,,,,CE,"Em 1969 20° 50' (Cresce 5,2' ao ano)",Córrego Alegre,Imbituba-SC,"-39",UTM,"1974","1","1974","1",Nã,Nã,Não se aplic,307
308,282,SB-24-X-A-I,Restituição fotogramétrica,"0751",BATURITÉ,DSG,Topográfica,"1970","1969","1968","3069.044",,,,,,,CE,Em 1969 20° 57' (Cresce 5' ao ano),Córrego Alegre,Imbituba-SC,"-39",UTM,"1971","1","1971","1",Nã,Nã,Não se aplic,308
309,283,SB-24-X-A-II,Restituição fotogramétrica,"0752",BEBERIBE,DSG,Topográfica,"1970","1969","1968","3069.044",,,,,,,CE,Em 1969 21° 06' (Cresce 5' ao ano),Córrego Alegre,Imbituba-SC,"-39",UTM,"1971","1","1971","2",Nã,Nã,Não se aplic,309
310,284,SB-24-X-A-III,Restituição fotogramétrica,"0752-A",PARAJURU,DSG,Topográfica,"1970","1969","1965","3069.044",,,,,,,CE,Em 1969 21° 12' (Cresce 5' ao ano),Córrego Alegre,Imbituba-SC,"-39",UTM,"1970","1","1984","1",Nã,Nã,Não se aplic,310
311,285,SB-21-X-A-IV,Restituição fotogramétrica,"0785",ILHA MAMBUAI,DSG,Topográfica,"1981","1979","1979","3066.993",,,,,,,PA,Em 1982 12° 34' (Cresce 8' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,311
312,286,SB-21-X-A-V,Restituição fotogramétrica,"0786",URUÁ,DSG,Topográfica,"1982","1979","1979","3066.993",,,,,,,PA,Em 1979 12° 34' (Cresce 8' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,312
313,287,SC-23-Y-C-II,Restituição fotogramétrica,"1774",SERRA NEGRA,DSG,Topográfica,"1977","1975","1968","3019.69","-11.000","-11.500",,,,,TO,"Em 1975 16° 19' (Cresce 8,3' ao ano)",Córrego Alegre,Imbituba-SC,"-45",UTM,"1977","1","1977","1",Nã,Nã,Não se aplic,313
314,288,SC-23-Z-D-I,Restituição fotogramétrica,"1782",BARRA,DSG,Topográfica,"1970","1967","1966","3019.69","-11.000","-11.500",,,,,BA,Em 1970 18° 38' (Cresce 7' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1971","1","1971","1",Nã,Nã,Não se aplic,314
315,289,SC-20-Y-C-V,Restituição fotogramétrica,"1795",ILHA DAS MERCEDES,DSG,Topográfica,"1976","1975","1974","3014.471","-11.500","-12.000",,,,,RO,Em 1973 03° 25' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-63",UTM,"1977","1","1977","1",Nã,Nã,Não se aplic,315
316,290,SC-20-Y-C-VI,Restituição fotogramétrica,"1796",ILHA DO MANELITO,DSG,Topográfica,"1976","1975","1974","3014.471","-11.500","-12.000",,,,,RO,Em 1973 03° 48' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-63",UTM,"1977","1","1977","1",Nã,Nã,Não se aplic,316
317,291,SC-20-Y-D-IV,Restituição fotogramétrica,"1797",SERRA DA CUTIA,DSG,Topográfica,"1976","1975","1974","3014.471","-11.500","-12.000",,,,,RO,"Em 1973 04° 13' (Cresce 9,1' ao ano)",Córrego Alegre,Imbituba-SC,"-63",UTM,"1977","1","1977","1",Nã,Nã,Não se aplic,317
318,292,SC-20-Y-D-V,Restituição fotogramétrica,"1798",SERRA DOS UOPIANES,DSG,Topográfica,"1976","1975","1974","3014.471","-11.500","-12.000",,,,,RO,"Em 1973 04° 36' (Cresce 9,1' ao ano)",Córrego Alegre,Imbituba-SC,"-63",UTM,"1977","2","1982","1",Nã,Nã,Não se aplic,318
319,293,SC-20-Y-D-VI,Restituição fotogramétrica,"1799",ALDEIA QUEIMADA,DSG,Topográfica,"1976","1975","1974","3014.471","-11.500","-12.000",,,,,RO,"Em 1973 05° 01' (Cresce 9,2' ao ano)",Córrego Alegre,Imbituba-SC,"-63",UTM,"1977","1","1977","1",Nã,Nã,Não se aplic,319
320,294,SC-20-Z-C-IV,Restituição fotogramétrica,"1800",GABRIEL MACIEL,DSG,Topográfica,"1976","1975","1974","3014.471","-11.500","-12.000",,,,,RO,"Em 1973 05° 26' (Cresce 9,2' ao ano)",Córrego Alegre,Imbituba-SC,"-63",UTM,"1977","1","1977","1",Nã,Nã,Não se aplic,320
321,295,SC-20-Z-C-V,Restituição fotogramétrica,"1801",PAULO SALDANHA,DSG,Topográfica,"1976","1975","1974","3014.471","-11.500","-12.000",,,,,RO,"Em 1973 05° 52' (Cresce 9,2' ao ano)",Córrego Alegre,Imbituba-SC,"-63",UTM,"1977","1","1977","1",Nã,Nã,Não se aplic,321
322,296,SC-20-Z-C-VI,Restituição fotogramétrica,"1802",RIO PARDO,DSG,Topográfica,"1976","1975","1974","3014.471","-11.500","-12.000",,,,,RO,"Em 1973 06° 17' (Cresce 9,3' ao ano)",Córrego Alegre,Imbituba-SC,"-63",UTM,"1977","1","1977","1",Nã,Nã,Não se aplic,322
323,297,SC-20-Z-D-IV,Restituição fotogramétrica,"1803",PIMENTA BUENO,DSG,Topográfica,"1976","1975","1974","3014.471","-11.500","-12.000",,,,,RO,"Em 1973 06° 43' (Cresce 9,5' ao ano)",Córrego Alegre,Imbituba-SC,"-63",UTM,"1977","1","1977","1",Nã,Nã,Não se aplic,323
324,298,SC-20-Z-D-V,Restituição fotogramétrica,"1804",PRIMAVERA,DSG,Topográfica,"1976","1975","1974","3014.471","-11.500","-12.000",,,,,RO,"Em 1973 07° 06' (Cresce 9,5' ao ano)",Córrego Alegre,Imbituba-SC,"-63",UTM,"1977","1","1977","1",Nã,Nã,Não se aplic,324
325,299,SC-20-Z-D-VI,Restituição fotogramétrica,"1805",SARGENTO PAIXÃO,DSG,Topográfica,"1976","1975","1974","3014.471","-11.500","-12.000",,,,,RO_MT,"Em 1973 07° 30' (Cresce 9,5' ao ano)",Córrego Alegre,Imbituba-SC,"-63",UTM,"1977","1","1977","1",Nã,Nã,Não se aplic,325
326,300,SC-21-Z-C-IV,Restituição fotogramétrica,"1812",FAZENDA PEROLA VERDE,DSG,Topográfica,"1979","1978","1967","3014.471","-11.500","-12.000",,,,,MT,"Em 1978 11° 10' (Cresce 8,5' ao ano)",SAD69,Imbituba-SC,"-57",UTM,"1980","1","1980","1",Nã,Nã,Não se aplic,326
327,301,SC-21-Z-C-V,Restituição fotogramétrica,"1813",CORREGO DA PARADA,DSG,Topográfica,"1979","1978","1967","3014.471","-11.500","-12.000",,,,,MT,"Em 1978 11° 34' (Cresce 8,5' ao ano)",SAD69,Imbituba-SC,"-57",UTM,"1980","1","1980","1",Nã,Nã,Não se aplic,327
328,302,SC-21-Z-C-VI,Restituição fotogramétrica,"1814",SINOP,DSG,Topográfica,"1979","1978","1967","3014.471","-11.500","-12.000",,,,,MT,"Em 1976 11° 57' (Cresce 8,5' ao ano)",SAD69,Imbituba-SC,"-57",UTM,"1980","1","1980","1",Nã,Nã,Não se aplic,328
329,303,SC-21-Z-D-IV,Restituição fotogramétrica,"1815",SANTA CARMEM,DSG,Topográfica,"1980","1978","1967","3014.471","-11.500","-12.000",,,,,MT,"Em 1978 12° 19' (Cresce 8,5' ao ano)",SAD69,Imbituba-SC,"-57",UTM,"1980","1","1980","1",Nã,Nã,Não se aplic,329
330,304,SC-21-Z-D-V,Restituição fotogramétrica,"1816",RIBEIRÃO AMARELINHO,DSG,Topográfica,"1980","1978","1967","3014.471","-11.500","-12.000",,,,,MT,"Em 1978 12° 43' (Cresce 8,5' ao ano)",SAD69,Imbituba-SC,"-57",UTM,"1980","1","1980","1",Nã,Nã,Não se aplic,330
331,305,SC-21-Z-D-VI,Restituição fotogramétrica,"1817",FAZENDA RIO NEGRO,DSG,Topográfica,"1979","1978","1967","3014.471","-11.500","-12.000",,,,,MT,"Em 1978 13° 05' (Cresce 8,5' ao ano)",SAD69,Imbituba-SC,"-57",UTM,"1980","1","1980","1",Nã,Nã,Não se aplic,331
332,306,SC-22-Y-C-IV,Restituição fotogramétrica,"1818",FOZ DO RONURO,DSG,Topográfica,"1980","1978","1967","3014.471","-11.500","-12.000",,,,,MT,"Em 1975 12° 53' (Cresce 9,3' ao ano)",SAD69,Imbituba-SC,"-51",UTM,"1980","1","1980","1",Nã,Nã,Não se aplic,332
333,307,SC-22-Y-C-V,Restituição fotogramétrica,"1819",CORREGO SANTO ANTONIO,DSG,Topográfica,"1980","1978","1967","3014.471","-11.500","-12.000",,,,,MT,"Em 1975 13° 15' (Cresce 9,3' ao ano)",SAD69,Imbituba-SC,"-51",UTM,"1980","1","1980","1",Nã,Nã,Não se aplic,333
334,308,SC-22-Y-C-VI,Restituição fotogramétrica,"1820",PIRATININGA,DSG,Topográfica,"1980","1968","1967","3014.471","-11.500","-12.000",,,,,MT,"Em 1975 13° 39' (Cresce 9,3' ao ano)",SAD69,Imbituba-SC,"-51",UTM,"1980","1","1980","1",Nã,Nã,Não se aplic,334
335,309,SC-22-Z-C-V,Restituição fotogramétrica,"1825",SORROCAN,DSG,Topográfica,"1977","1975","1968","3014.471","-11.500","-12.000",,,,,TO,Em 1974 15° 09' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1977","1","1977","1",Nã,Nã,Não se aplic,335
336,310,SF-21-X-D-III,Restituição fotogramétrica,"2624",NOVA ALVORADA,DSG,Topográfica,"1971","1967",1964 e 1966,"2873.1","-21.000","-21.500",,,,,MS,Em 1969 09° 26' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1984","1","1984","1",Nã,Nã,Não se aplic,336
337,311,SF-22-V-C-I,Restituição fotogramétrica,"2625",RETIRO MONTE BELO,DSG,Topográfica,"1973","1972","1965","2873.1","-21.000","-21.500",,,,,MS,Em 1972 10° 14' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1974","1","1981","2",Nã,Nã,Não se aplic,337
338,312,SF-22-V-C-II,Restituição fotogramétrica,"2626",LONTRINHA,DSG,Topográfica,"1973","1973","1965","2873.1","-21.000","-21.500",,,,,MS,Em 1972 10° 39' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1974","1","1981","2",Nã,Nã,Não se aplic,338
339,313,SF-22-V-C-III,Restituição fotogramétrica,"2627",XAVANTINA,DSG,Topográfica,"1973","1971","1967","2873.1","-21.000","-21.500",,,,,MS,Em 1973 11° 06' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1974","1","1974","1",Nã,Nã,Não se aplic,339
340,314,SF-22-V-D-I,Restituição fotogramétrica,"2628",BRASILÂNDIA,DSG,Topográfica,"1973","1972","1967","2873.1","-21.000","-21.500",,,,,MS,Em 1972 11° 30' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1974","1","1981","2",Nã,Nã,Não se aplic,340
341,315,SF-22-V-D-II,Restituição fotogramétrica,"2629",DRACENA,DSG,Topográfica,"1974","1965","1965","2873.1","-21.000","-21.500",,,,,SP_MS,Em 1972 11° 54' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1980","1","1980","2",Nã,Nã,Não se aplic,341
342,316,SF-21-V-D-V,Restituição fotogramétrica,"2652",PORTO MURTINHO,DSG,Topográfica,"1973","1972","1966","2863.469","-21.500","-22.000",,,,,MS,Em 1971 07° 10' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1984","1","1984","2",Nã,Nã,Não se aplic,342
343,317,SF-21-V-D-VI,Restituição fotogramétrica,"2653",COLÔNIA SÃO LOURENÇO,DSG,Topográfica,"1973","1972","1966","2863.469","-21.500","-22.000",,,,,MS,Em 1971 07° 29' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1973","1","1973","1",Nã,Nã,Não se aplic,343
344,318,SF-21-X-C-IV,Restituição fotogramétrica,"2654",FAZENDA MARGARIDA,DSG,Topográfica,"1973","1972","1966","2863.469","-21.500","-22.000",,,,,MS,Em 1971 08° 00' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1984","1","1984","1",Nã,Nã,Não se aplic,344
345,319,SF-21-X-C-V,Restituição fotogramétrica,"2655",BOQUEIRÃO,DSG,Topográfica,"1973","1972","1966","2863.469","-21.500","-22.000",,,,,MS,Em 1971 08° 17' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1984","1","1984","2",Nã,Nã,Não se aplic,345
346,320,SF-21-X-C-VI,Restituição fotogramétrica,"2656",VISTA ALEGRE,DSG,Topográfica,"1971",1967 e 1968,1965 e 1966,"2863.469","-21.500","-22.000",,,,,MS,Em 1990 11° 56' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1972","1","1990","3",Nã,Nã,Não se aplic,346
347,321,SF-21-X-D-IV,Restituição fotogramétrica,"2657",MARACAJU,DSG,Topográfica,"1971",1967 e 1968,1965 e 1966,"2863.469","-21.500","-22.000",,,,,MS,Em 1969 08° 34' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1972","1","1998","4",Nã,Nã,Não se aplic,347
