fid,ID,indNomencl,metodoProd,mi,nome,orgaoEdito,tipoCarta,anoRestitu,anoReambul,anoVoo,areaFolha,latLimNort,latLimSul,longLimLes,longLimOes,recursoOff,recursoOnL,uf,declinacao,datumHoriz,datumVerti,meridianoC,sistemaPro,anoEdicao,numEdicao,anoImpress,numImpress,geoPdf,pdf,metadadoIm,PRIMARYIND,Escala
278,244,SB-21-X-B,Restituição fotogramétrica,"143",AGROVILA PRESIDENTE MÉDICI,IBGE,Topográfica,"1984","1983","1980","3069.044","-4.000","-5.000","-54.000","-55.500",,,PA,Em 1984 -13° 53' (Cresce 7' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1984","1","1984","1",Nã,Sim,Não,278,250000
279,245,SB-23-X-B,Compilação,"151",CAXIAS,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3069.044","-4.000","-5.000","-42.000","-43.500",,,MA_PI,"Em 1984 20° 04' (Cresce 5,1' ao ano)",Córrego Alegre,Imbituba-SC,"-45",UTM,"1984","1","1984","1",Nã,Nã,Não se aplic,279,250000
280,246,SB-20-X-D,Restituição fotogramétrica,"164",MANICORÉ,IBGE,Topográfica,"1982","1981","1980","3064.714","-5.000","-6.000","-59,9999","-61,4999",,,AM,Em 1982 -9° 24' (Sem informação na carta),Córrego Alegre,Imbituba-SC,"-63",UTM,"1982","1","1982","1",Nã,Nã,Não,280,250000
281,247,SB-21-V-C,Restituição fotogramétrica,"165",RIO CANUMÃ,IBGE,Topográfica,"1982","1981","1980","3064.714","-5.000","-6.000","-58,4999","-59,9999",,,AM,Em 1982 -10° 26' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Sim,Não,281,250000
282,248,SB-23-V-C,Compilação,"173",IMPERATRIZ,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3064.714","-5.000","-6.000","-46.500","-48.000",,,MA_TO,"Em 1986 18° 38' (Cresce 7,4' ao ano)",SAD69,Imbituba-SC,"-45",UTM,"1986","1","1986","1",Nã,Nã,Não se aplic,282,250000
283,249,SC-20-X-D,Restituição fotogramétrica,"271",RIO GUARIBA,IBGE,Topográfica,"1981","1980","1979","3038.315","-9.000","-10.000","-59,9999","-61,4999",,,MT_RO,Em 1981 -08° 37' (Cresce 9' ao ano),SAD69,Imbituba-SC,"-63",UTM,"1981","1","1981","1",Nã,Nã,Não,283,250000
284,250,SC-21-V-C,Restituição fotogramétrica,"272",RIO ARIPUANÃ,IBGE,Topográfica,"1982","1981","1980","3038.315","-9.000","-10.000","-58,4999","-59,9999",,,MT,Em 1982 -09° 47' (Cresce -9' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Sim,Não,284,250000
285,251,SC-21-V-D,Restituição fotogramétrica,"273",RIO SÃO JOÃO DA BARRA,IBGE,Topográfica,"1982","1981","1980","3038.315","-9.000","-10.000","-57.000","-58.500",,,MT_PA,Em 1982 -10° 46' (Cresce -9' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Sim,Não,285,250000
286,252,SC-21-X-C,Restituição fotogramétrica,"274",ALTA FLORESTA,IBGE,Topográfica,"1982","1980","1979","3038.315","-9.000","-10.000","-55.500","-57.000",,,MT_PA,Em 1982 -12° 12' (Cresce -9' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Sim,Não,286,250000
287,259,SC-20-Z-B,Restituição fotogramétrica,"296",RIO BRANCO,IBGE,Topográfica,"1981","1980","1979","3029.453","-10.000","-11.000","-59,9999","-61,4999",,,MT_RO,Em 1981 -08° 30' (Cresce -9' ao ano),SAD69,Imbituba-SC,"-63",UTM,"1981","1","1981","1",Nã,Sim,Não,287,250000
288,260,SC-21-Y-A,Restituição fotogramétrica,"297",ARIPUANÃ,DSG,Topográfica,"1980","1979","1967","3029.453","-10.000","-11.000","-58,4999","-59,9999",,,MT,Em 1978 09° 24' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1981","1","1981","1",Nã,Nã,Não se aplic,288,250000
289,261,NB-20-Z-C,Compilação,"004",SERRA PACARAIMA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3066.993","5.000","4.000","-61,4999","-62,9999",,,RR,Em 1986 -10° 06' (Cresce 8' ao ano),SAD69,Imbituba-SC,"-63",UTM,"1986","1","1986","1",Nã,Nã,Não,289,250000
290,262,SC-24-Z-C,Restituição fotogramétrica,"331",CIPO,IBGE,Topográfica,"1956","1950","1950","3019.69","-11.000","-12.000","-37.500","-39.000",,,BA_SE,Informação em levantamento,Chuá,Imbituba-SC,"-39",Policônica,"1956","1","1956","1",Nã,Nã,Não,290,250000
291,263,SD-21-V-A,Restituição fotogramétrica,"337",ALDEIA ESPIRRO,DSG,Topográfica,"1981","1979","1967","3009.027","-12.000","-13.000","-58,4999","-59,9999",,,MT_RO,Em 1978 09° 02' (Cresce 8' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1981","1","1981","1",Nã,Nã,Não se aplic,291,250000
292,264,SD-21-V-B,Restituição fotogramétrica,"338",RIO TREZE DE MAIO,DSG,Topográfica,"1980","1979","1967","3009.027","-12.000","-13.000","-57.000","-58.500",,,MT,Em 1978 10° 15' (Cresce 8' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1981","1","1981","1",Nã,Nã,Não se aplic,292,250000
293,265,SD-21-X-A,Compilação,"339",SORRISO,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3009.027","-12.000","-13.000","-55.500","-57.000",,,MT,Em 1983 12° 15' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,293,250000
294,266,SD-21-X-B,Compilação,"340",VERA,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3009.027","-12.000","-13.000","-54.000","-55.500",,,MT,Em 1983 -13° 23' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-57",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,294,250000
295,267,SD-22-V-A,Compilação,"341",LAGOA DO ITAVUNUNU,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3009.027","-12.000","-13.000","-52.500","-54.000",,,MT,Em 1983 14° 27' (Cresce 10' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,295,250000
296,268,SD-22-V-B,Compilação,"342",CASCALHEIRA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3009.027","-12.000","-13.000","-51.000","-52.500",,,MT,Em 1983 -15° 23' (Cresce -9' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1983","1","1983","1",Nã,Nã,Não,296,250000
297,269,SD-22-X-A,Compilação,"343",ARAGUAÇU,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3009.027","-12.000","-13.000","-49.500","-51.000",,,GO_MT_TO,Em 1983 -16° 29' (Cresce -9' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1983","1","1983","1",Nã,Nã,Não,297,250000
298,270,SD-22-X-B,Compilação,"344",PEIXE,DSG,Carta imagem radar completa,Não se aplica,Informação em levantamento,Informação em levantamento,"3009.027","-12.000","-13.000","-48.000","-49.500",,,GO_TO,"Em 1980  16° 54' (Cresce 9,3' ao ano)",Córrego Alegre,Imbituba-SC,"-51",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,298,250000
299,271,SD-23-V-A,Compilação,"345",ARRAIAS,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3009.027","-12.000","-13.000","-46.500","-48.000",,,GO_TO,Em 1985 -17° 58' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1985","1","1985","1",Nã,Nã,Não,299,250000
300,272,SD-23-V-B,Compilação,"346",BARREIRAS,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3009.027","-12.000","-13.000","-45.000","-46.500",,,BA_TO_GO,Em 1984 -18° 57' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1984","1","1984","1",Nã,Nã,Não,300,250000
301,273,SD-23-X-B,Compilação,"348",IBOTIRAMA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"3009.027","-12.000","-13.000","-42.000","-43.500",,,BA,Em 1984 -20° 29' (Cresce -7' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1984","1","1984","1",Nã,Nã,Não,301,250000
302,274,SD-24-X-A,Restituição fotogramétrica,"351",SALVADOR,IBGE,Topográfica,1953 e 1954,1953 e 1954,1953 e 1954,"3009.027","-12.000","-13.000","-37.500","-39.000",,,BA,Informação em levantamento,Chuá,Imbituba-SC,"-39",Policônica,"1958","1","1958","1",Nã,Nã,Não,302,250000
303,275,SD-21-V-C,Compilação,"354",VILA OESTE,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2997.469","-13.000","-14.000","-58,4999","-59,9999",,,MT,Em 1983 09° 49' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,303,250000
304,276,SD-21-V-D,Compilação,"355",UTIARITI,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2997.469","-13.000","-14.000","-57.000","-58.500",,,MT,Em 1983 10° 58' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,304,250000
305,277,SD-21-X-C,Compilação,"356",RIO CLARO,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2997.469","-13.000","-14.000","-55.500","-57.000",,,MT,Em 1983 12° 08' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,305,250000
306,278,SD-22-Y-B,Compilação,"375",NOVA XAVANTINA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2985.016","-14.000","-15.000","-51.000","-52.500",,,GO_MT,Em 1983 -15° 05' (Cresce -9' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1983","1","1983","1",Nã,Sim,Não,306,250000
307,279,SD-22-Z-A,Compilação,"376",ITAPACI,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2985.016","-14.000","-15.000","-49.500","-51.000",,,GO,Em 1983 -16° 15' (Cresce -9' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1983","1","1983","1",Nã,Nã,Não,307,250000
308,280,SD-22-Z-B,Compilação,"377",URUAÇU,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2985.016","-14.000","-15.000","-48.000","-49.500",,,GO,Em 1983 17° 18' (Cresce 9' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1983","1","1983","1",Nã,Nã,Não,308,250000
309,281,SD-23-Y-A,Compilação,"378",IACIARA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2985.016","-14.000","-15.000","-46.500","-48.000",,,GO_BA,Em 1983 -17° 59' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1983","1","1983","1",Nã,Nã,Não,309,250000
310,282,SD-23-Y-B,Compilação,"379",POSSE,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2985.016","-14.000","-15.000","-45.000","-46.500",,,BA_GO_MG,Em 1984 -18° 56' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1984","1","1984","1",Nã,Nã,Não,310,250000
311,283,SD-23-Z-A,Compilação,"380",MANGA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2985.016","-14.000","-15.000","-43.500","-45.000",,,BA_MG,Em 1984 -19° 44' (Cresce -8' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1984","1","1984","1",Nã,Nã,Não,311,250000
312,284,SD-23-Z-B,Compilação,"381",GUANAMBI,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2985.016","-14.000","-15.000","-42.000","-43.500",,,BA_MG,Em 1985 -20° 28' (Cresce -6' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1985","1","1985","1",Nã,Nã,Não,312,250000
313,285,SD-24-Y-A,Compilação,"382",VITÓRIA DA CONQUISTA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2985.016","-14.000","-15.000","-40.500","-42.000",,,BA,Em 1985 -21° 17' (Cresce -6' ao ano),SAD69,Imbituba-SC,"-39",UTM,"1985","1","1985","1",Nã,Sim,Não,313,250000
314,286,SD-24-Y-B,Compilação,"383",ITABUNA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2985.016","-14.000","-15.000","-39.000","-40.500",,,BA,Em 1985 -22° 00' (Cresce -6' ao ano),SAD69,Imbituba-SC,"-39",UTM,"1985","1","1985","1",Nã,Nã,Não,314,250000
315,287,SD-24-Z-A,Compilação,"384",ITABUNA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2985.016","-14.000","-15.000","-37.500","-39.000",,,BA,Em 1985 -22° 00' (Cresce -6' ao ano),SAD69,Imbituba-SC,"-39",UTM,"1985","1","1985","1",Nã,Nã,Não,315,250000
316,288,SD-21-Y-C,Compilação,"386",JAURU,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2971.673","-15.000","-16.000","-58,4999","-59,9999",,,MT,Em 1982 09° 11' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,316,250000
317,289,SD-21-Y-D,Compilação,"387",BARRA DOS BUGRES,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2971.673","-15.000","-16.000","-57.000","-58.500",,,MT,Em 1982 10° 26' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,317,250000
318,290,SD-21-Z-D,Compilação,"389",DOM AQUINO,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2971.673","-15.000","-16.000","-54.000","-55.500",,,MT,Em 1982 12° 50' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,318,250000
319,291,SD-22-Y-C,Compilação,"390",GENERAL CARNEIRO,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2971.673","-15.000","-16.000","-52.500","-54.000",,,MT,"Em 1986 14° 35' 36"" (Cresce 9' ao ano)",SAD69,Imbituba-SC,"-51",UTM,"1986","1","1986","1",Nã,Nã,Não se aplic,319,250000
320,292,SD-22-Y-D,Compilação,"391",BARRA DO GARÇAS,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2971.673","-15.000","-16.000","-51.000","-52.500",,,GO_MT,Em 1983 -14° 53' (Cresce -9' ao ano),SAD69,Imbituba-SC,"-51",UTM,"1983","1","1983","1",Nã,Nã,Não,320,250000
321,293,SD-23-Y-D,Compilação,"395",BURITIS,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2971.673","-15.000","-16.000","-45.000","-46.500",,,BA_MG,Em 1982 -18° 36' (Cresce -8' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1982","1","1982","1",Nã,Sim,Não,321,250000
322,294,SD-23-Z-C,Compilação,"396",JANUÁRIA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2971.673","-15.000","-16.000","-43.500","-45.000",,,MG,Em 1982 -19° 21' (Cresce -8' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1982","1","1982","1",Nã,Nã,Não,322,250000
323,295,SD-23-Z-D,Compilação,"397",JANAÚBA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2971.673","-15.000","-16.000","-42.000","-43.500",,,BA_MG,Em 1982 -20° 16' (Cresce -8' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1982","1","1982","1",Nã,Nã,Não,323,250000
324,296,SD-24-Y-C,Compilação,"398",PEDRA AZUL,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2971.673","-15.000","-16.000","-40.500","-42.000",,,BA_MG,Em 1985 -21° 16' (Cresce -6' ao ano),SAD69,Imbituba-SC,"-39",UTM,"1986","1","1986","1",Nã,Nã,Não,324,250000
325,297,SD-24-Y-D,Compilação,"399",ITAPETINGA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2971.673","-15.000","-16.000","-39.000","-40.500",,,BA_MG,Em 1985 -22° 03' (Cresce -6' ao ano),SAD69,Imbituba-SC,"-39",UTM,"1985","1","1985","1",Nã,Nã,Não,325,250000
326,298,SD-24-Z-C,Compilação,"400",ITAPETINGA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2971.673","-15.000","-16.000","-37.500","-39.000",,,BA,Em 1985 -22° 03' (Cresce -6' ao ano),SAD69,Imbituba-SC,"-39",UTM,"1985","1","1985","1",Nã,Nã,Não,326,250000
327,299,SE-21-V-B,Compilação,"403",CÁCERES,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2957.442","-16.000","-17.000","-57.000","-58.500",,,MT,Em 1982 10° 17' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,327,250000
328,300,SE-21-X-A,Compilação,"404",POCONÉ,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2957.442","-16.000","-17.000","-55.500","-57.000",,,MT,Em 1982 11° 25' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1983","1","1983","1",Nã,Nã,Não se aplic,328,250000
329,301,SE-21-X-B,Compilação,"405",RONDONÓPOLIS,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2957.442","-16.000","-17.000","-54.000","-55.500",,,MT,Em 1982 12° 37' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,329,250000
330,302,SE-22-V-A,Compilação,"406",GUIRATINGA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2957.442","-16.000","-17.000","-52.500","-54.000",,,GO_MT,Em 1982 -13° 26' (Cresce -9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1982","1","1982","1",Nã,Nã,Não,330,250000
331,303,SE-22-V-B,Compilação,"407",IPORÃ,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2957.442","-16.000","-17.000","-51.000","-52.500",,,GO_MT,Em 1982 -14° 31' (Cresce -9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1982","1","1982","1",Nã,Nã,Não,331,250000
332,304,SE-22-X-A,Compilação,"408",SÃO LUÍS DE MONTES BELOS,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2957.442","-16.000","-17.000","-49.500","-51.000",,,GO,Em 1982 -15° 44' (Cresce -9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1982","1","1982","1",Nã,Nã,Não,332,250000
333,305,SE-22-X-B,Compilação,"409",GOIÂNIA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2957.442","-16.000","-17.000","-48.000","-49.500",,,DF_GO,Em 1980 -16° 24' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1980","1","1980","1",Nã,Sim,Não,333,250000
334,306,SE-23-V-A,Compilação,"410",UNAÍ,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2957.442","-16.000","-17.000","-46.500","-48.000",,,DF_GO_MG,Em 1980 -17° 33' (Cresce 9' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1980","1","1980","1",Nã,Nã,Não,334,250000
335,307,SE-21-Y-B,Compilação,"430",AMOLAR,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2926.332","-18.000","-19.000","-57.000","-58.500",,,MS,Em 1982 09° 45' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,335,250000
336,308,SE-21-Z-A,Compilação,"431",PORTO ROLON,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2926.332","-18.000","-19.000","-55.500","-57.000",,,MS,Em 1982 11° 00' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,336,250000
337,309,SE-21-Z-B,Compilação,"432",COXIM,DSG,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2926.332","-18.000","-19.000","-54.000","-55.500",,,MS,Em 1982 12° 12' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-57",UTM,"1982","1","1982","1",Nã,Nã,Não se aplic,337,250000
338,310,SE-22-Y-A,Compilação,"433",PARQUE NACIONAL DAS EMAS,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2926.332","-18.000","-19.000","-52.500","-54.000",,,GO_MS_MT,Em 1982 -13° 08' (Cresce -9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1982","1","1982","1",Nã,Nã,Não,338,250000
339,311,SE-22-Y-B,Compilação,"434",CAÇU,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2926.332","-18.000","-19.000","-51.000","-52.500",,,GO,Em 1983 -13° 39' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1979","1","1979","1",Nã,Nã,Não,339,250000
340,312,SE-22-Z-A,Compilação,"435",QUIRINÓPOLIS,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2926.332","-18.000","-19.000","-49.500","-51.000",,,GO_MG,Em 1979 -14° 46' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1979","1","1979","1",Nã,Nã,Não,340,250000
341,313,SE-22-Z-B,Compilação,"436",UBERLÂNDIA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2926.332","-18.000","-19.000","-48.000","-49.500",,,GO_MG,Em 1979 -15° 57' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1979","1","1979","1",Nã,Nã,Não,341,250000
342,314,SE-23-Y-A,Compilação,"437",PATOS DE MINAS,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2926.332","-18.000","-19.000","-46.500","-48.000",,,GO_MG,Em 1979 -17° 00' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1979","1","1979","1",Nã,Sim,Não,342,250000
343,315,SE-23-Y-B,Compilação,"438",TRÊS MARIAS,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2926.332","-18.000","-19.000","-45.000","-46.500",,,MG,Em 1979 -17° 58' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1979","1","1979","1",Nã,Nã,Não,343,250000
344,316,SE-23-Z-A,Compilação,"439",CURVELO,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2926.332","-18.000","-19.000","-43.500","-45.000",,,MG,Em 1980 -18° 52' (Cresce 8' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1980","1","1980","1",Nã,Nã,Não,344,250000
345,317,SF-22-V-C,Compilação,"472",XAVANTINA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2873.1","-31.000","-22.000","-52.500","-54.000",,,MS,Em 1979 11° 44' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1979","1","1979","1",Nã,Nã,Não,345,250000
346,318,SF-22-V-D,Compilação,"473",DRACENA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2873.1","-21.000","-22.000","-51.000","-52.500",,,MS_SP,Em 1980 13° 09' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1980","1","1980","1",Nã,Sim,Não,346,250000
347,319,SF-22-X-C,Compilação,"474",ARAÇATUBA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2873.1","-21.000","-22.000","-49.500","-51.000",,,SP,Em 1976 13° 12' (Cresce 8' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1976","1","1976","1",Nã,Nã,Não,347,250000
348,320,SF-22-X-D,Compilação,"475",ARARAQUARA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2873.1","-21.000","-22.000","-48.000","-49.500",,,SP,Em 198   15° 13' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1979","1","1979","1",Nã,Nã,Não,348,250000
349,321,SF-23-V-C,Compilação,"476",RIBEIRÃO PRETO,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2873.1","-21.000","-22.000","-46.500","-48.000",,,MG_SP,Em 1979 16° 16' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1979","1","1979","1",Nã,Sim,Não,349,250000
350,322,SF-23-V-D,Compilação,"477",VARGINHA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2873.1","-21.000","-22.000","-45.000","-46.500",,,MG_SP,Em 1979 10° 16' (Cresce 9' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1979","1","1979","1",Nã,Sim,Não,350,250000
351,323,SF-23-X-C,Compilação,"478",BARBACENA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2873.1","-21.000","-22.000","-43.500","-45.000",,,MG,Em 1979 18° 21' (Cresce 8' ao ano),SAD69,Imbituba-SC,"-45",UTM,"1979","1","1979","1",Nã,Sim,Não,351,250000
352,324,SF-23-X-D,Compilação,"479",JUIZ DE FORA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2873.1","-21.000","-22.000","-42.000","-43.500",,,MG_RJ,Em 1980 19° 30' (Cresce 8' ao ano),Córrego Alegre,Imbituba-SC,"-45",UTM,"1980","1","1980","1",Nã,Sim,Não,352,250000
353,325,SF-24-V-C,Compilação,"480",CAMPOS,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2873.1","-21.000","-22.000","-40.500","-42.000",,,ES_RJ,Em 1980 20° 27' (Cresce 8' ao ano),Córrego Alegre,Imbituba-SC,"-39",UTM,"1980","1","1980","1",Nã,Sim,Não,353,250000
354,326,SF-22-Y-A,Compilação,"484",LOANDA,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2853.623","-22.000","-23.000","-52.500","-54.000",,,MS_PR_SP,Em 1985 12° 58' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1978","2","1985","2",Nã,Nã,Não,354,250000
355,327,SF-22-Y-B,Compilação,"485",PRESIDENTE PRUDENTE,IBGE,Topográfica,Não se aplica,Informação em levantamento,Informação em levantamento,"2853.623","-22.000","-23.000","-51.000","-52.500",,,MS_PR_SP,Em 1979 12° 42' (Cresce 10' ao ano),Córrego Alegre,Imbituba-SC,"-51",UTM,"1979","1","1979","1",Nã,Sim,Não,355,250000
